service_id,date,exception_type
6,20250701,1
3_merged_67046,20251111,1
3_merged_67046,20250901,1
3_merged_67046,20251013,1
3_merged_67046,20250930,1
3_merged_67043,20250804,1
1_merged_67045,20251111,2
1_merged_67045,20250901,2
1_merged_67045,20251013,2
1_merged_67045,20250930,2
1_merged_67042,20250804,2
1_merged_67042,20250701,2
